system,method,n_configs,config_size_mean,config_size_std,config_size_q25,config_size_median,config_size_q75,avg_pairwise_jaccard,avg_min_jaccard,n_features_appear,gini_selected_feature_frequency
apache-2.4.3,samplingChvatal-2wise,58.0,210.6206896551724,161.15582816407385,95.0,168.0,279.0,0.8250040033337966,0.5145291664423975,643.0,0.17074565544410047
apache-2.4.3,samplingICPL-2wise,61.0,206.70491803278688,160.59819980028306,80.0,184.0,277.0,0.8319899896584163,0.5375638349613064,643.0,0.1688470317987365
apache-2.4.3,samplingIncLing-2wise,19.0,319.63157894736844,104.61871148242923,318.0,321.0,324.0,0.7043521713000027,0.5287713841368592,643.0,0.05629127625297925
apache-2.4.3,samplingYasa-2wise,17.0,274.4117647058824,90.88975793171537,287.0,316.0,324.0,0.7676287496762244,0.7088276038106595,643.0,0.05790648404201981
bash-4.2,samplingChvatal-2wise,116.0,245.18103448275863,213.41281023252478,77.0,183.0,368.0,0.8430033846371675,0.46273577709672387,997.0,0.28560679401165956
bash-4.2,samplingICPL-2wise,95.0,284.62105263157895,214.69769096139606,125.0,243.0,377.0,0.8244989101992558,0.4943494551733137,997.0,0.24637127477703036
bash-4.2,samplingIncLing-2wise,20.0,499.1,157.8505305661023,497.0,499.0,500.0,0.6988021975160253,0.5232698094282854,997.0,0.05812287594097687
bash-4.2,samplingYasa-2wise,18.0,420.3888888888889,145.49117532952104,431.0,487.0,507.0,0.7711016128453505,0.7139738944535483,997.0,0.056594257465131026
bison-2.0,samplingChvatal-2wise,50.0,71.76,63.323790158202,21.0,59.0,106.0,0.8559622671891691,0.5590053448498233,267.0,0.21194451751364207
bison-2.0,samplingICPL-2wise,50.0,62.5,62.34107795025684,12.0,36.0,99.0,0.8725524506667093,0.5434815122705008,267.0,0.2132734082397021
bison-2.0,samplingIncLing-2wise,17.0,132.2941176470588,45.930593041704014,131.0,133.0,135.0,0.7088311188063418,0.533157083057944,267.0,0.0644114820902495
bison-2.0,samplingYasa-2wise,15.0,114.06666666666666,37.76147360589744,123.0,130.0,134.0,0.7710624499366638,0.7027331611259445,267.0,0.05302109942933719
busybox-1.23.1,samplingChvatal-2wise,89.0,316.96629213483146,253.06407455439413,133.0,244.0,453.0,0.8424441334327396,0.5511811083346132,1263.0,0.27609347718151755
busybox-1.23.1,samplingICPL-2wise,93.0,301.86021505376345,253.56980720668514,100.0,242.0,481.0,0.8493130224899897,0.5290015021965175,1263.0,0.28105793291604986
busybox-1.23.1,samplingIncLing-2wise,21.0,633.4285714285714,195.02736594998086,630.0,633.0,637.0,0.6960561123726523,0.5214342268974101,1263.0,0.058167691700205415
busybox-1.23.1,samplingYasa-2wise,18.0,547.7222222222222,178.38653585077404,602.0,620.0,643.0,0.760828031463095,0.7049778776961274,1263.0,0.05249215843631472
cherokee-1.2.101,samplingChvatal-2wise,53.0,133.60377358490567,98.83478488235399,69.0,118.0,163.0,0.8254662310281019,0.5356909305811044,425.0,0.20288593335936245
cherokee-1.2.101,samplingICPL-2wise,51.0,136.49019607843138,100.83229574232374,63.0,114.0,176.0,0.8249430451382262,0.5181850778624402,425.0,0.17778581508741964
cherokee-1.2.101,samplingIncLing-2wise,18.0,211.77777777777777,70.90490937050485,211.0,212.0,214.0,0.7043272890456961,0.5286274509803933,425.0,0.061404851552379736
cherokee-1.2.101,samplingYasa-2wise,17.0,180.47058823529412,57.38119967484617,190.0,204.0,214.0,0.7656555737213844,0.6950293606913339,425.0,0.06484239588925855
cvs-1.11.17,samplingChvatal-2wise,52.0,146.30769230769232,120.35485009266723,52.0,128.0,187.0,0.8366255505932418,0.5441286643750443,458.0,0.17409219897235362
cvs-1.11.17,samplingICPL-2wise,54.0,142.46296296296296,116.54258686928061,48.0,113.0,183.0,0.8372873299730303,0.5502642304434333,458.0,0.1878487049702653
cvs-1.11.17,samplingIncLing-2wise,19.0,230.21052631578948,74.54746206091119,229.0,230.0,234.0,0.6982383724882222,0.521948977246611,458.0,0.061760342476294916
cvs-1.11.17,samplingYasa-2wise,16.0,200.1875,60.71677975444679,218.0,222.0,236.0,0.7586644183617186,0.6950724284268152,458.0,0.05467240728192868
dia-0.97.2,samplingChvatal-2wise,49.0,51.755102040816325,46.74487011568698,16.0,36.0,87.0,0.8563260089495464,0.5165153467228877,211.0,0.2317490693258788
dia-0.97.2,samplingICPL-2wise,50.0,50.32,46.65809254566672,12.0,30.0,73.0,0.859149840868233,0.49989385090062155,211.0,0.24161574454298296
dia-0.97.2,samplingIncLing-2wise,16.0,104.9375,37.38895015576126,105.0,105.0,106.0,0.7109654755102752,0.5322867298578222,211.0,0.05638653113876746
dia-0.97.2,samplingYasa-2wise,15.0,90.6,27.709926019388796,96.0,102.0,104.0,0.7660345716268958,0.6978792750806768,211.0,0.05393567196398186
firefox-32.0.1,samplingChvatal-2wise,64.0,190.125,155.8960491000333,50.0,177.0,267.0,0.8457518176915875,0.5066586762391478,634.0,0.16389448872462697
