system,Chvatal_priority,Chvatal_random,Chvatal_dissim,Chvatal_lotcp,Chvatal_lotcp2,Chvatal_lotcp1,Chvatal_lotcp0,Chvatal_total,Chvatal_additional,Chvatal_unified,ICPL_priority,ICPL_random,ICPL_dissim,ICPL_lotcp,ICPL_lotcp2,ICPL_lotcp1,ICPL_lotcp0,ICPL_total,ICPL_additional,ICPL_unified,IncLing_priority,IncLing_random,IncLing_dissim,IncLing_lotcp,IncLing_lotcp2,IncLing_lotcp1,IncLing_lotcp0,IncLing_total,IncLing_additional,IncLing_unified,Yasa_priority,Yasa_random,Yasa_dissim,Yasa_lotcp,Yasa_lotcp2,Yasa_lotcp1,Yasa_lotcp0,Yasa_total,Yasa_additional,Yasa_unified
apache-2.4.3,0.89,0.93,0.95,0.97,0.97,0.97,0.97,0.96,0.96,0.97,0.87,0.94,0.96,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.92,0.88,0.87,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.82,0.88,0.79,0.93,0.93,0.93,0.93,0.87,0.91,0.91
bash-4.2,0.94,0.97,0.82,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.88,0.97,0.97,0.97,0.97,0.96,0.95,0.98,0.93,0.84,0.72,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.69,0.78,0.86,0.92,0.92,0.92,0.92,0.92,0.92,0.92
bison-2.0,0.99,0.89,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.92,0.65,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.89,0.91,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.83,0.90,0.80,0.87,0.87,0.87,0.87,0.90,0.87,0.87
busybox-1.23.1,0.91,0.92,0.82,0.96,0.96,0.96,0.96,0.94,0.94,0.95,0.97,0.91,0.89,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.73,0.76,0.74,0.73,0.73,0.73,0.73,0.78,0.76,0.75,0.84,0.85,0.76,0.86,0.86,0.86,0.86,0.88,0.85,0.87
cherokee-1.2.101,0.91,0.96,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.96,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.94,0.92,0.92,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.89,0.74,0.88,0.88,0.88,0.88,0.91,0.88,0.85
cvs-1.11.17,0.93,0.94,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.88,0.93,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.89,0.92,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.82,0.53,0.97,0.97,0.91,0.91,0.97,0.91,0.97
dia-0.97.2,0.97,0.91,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.86,0.91,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.91,0.86,0.81,0.92,0.92,0.92,0.92,0.94,0.94,0.89,0.87,0.85,0.68,0.95,0.95,0.95,0.95,0.90,0.95,0.93
firefox-32.0.1,0.90,0.92,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.91,0.98,0.98,0.98,0.98,0.98,0.96,0.98,0.97,0.88,0.91,0.88,0.88,0.88,0.88,0.88,0.85,0.85,0.88,0.94,0.88,0.84,0.88,0.88,0.88,0.88,0.91,0.88,0.91
fvwm-2.4.15,0.93,0.92,0.95,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.95,0.95,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.85,0.93,0.92,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.81,0.89,0.83,0.93,0.93,0.93,0.93,0.93,0.93,0.93
gcc-4.9.2,0.65,0.63,0.66,0.66,0.66,0.66,0.66,0.63,0.66,0.65,0.59,0.62,0.62,0.66,0.66,0.66,0.66,0.63,0.66,0.65,0.58,0.60,0.62,0.59,0.59,0.59,0.59,0.56,0.58,0.59,0.62,0.61,0.56,0.56,0.56,0.56,0.56,0.55,0.56,0.55
gnuplot-4.6.1,0.79,0.90,0.85,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.94,0.91,0.91,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.86,0.90,0.91,0.94,0.94,0.94,0.94,0.95,0.95,0.95,0.87,0.89,0.86,0.92,0.92,0.92,0.92,0.89,0.92,0.89
irssi-0.8.15,0.91,0.93,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.91,0.93,0.74,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.88,0.91,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.82,0.90,0.68,0.96,0.96,0.96,0.96,0.96,0.96,0.96
